;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
12522;27;должен;„Ћ‹†Ќ›‰;A - - sg brev m -;;;н;е;ж;л;о;д;A;„Ћ‹†Ќ›‰;A - - sg brev m -;
12523;28;двигатьсЯ;„‚€ѓЂ’њ‘џ;V ipf - - inf - -;;;Я;с;ь;т;а;г;V;„‚€ѓЂ’њ‘џ;V ipf - - inf - -;
12524;29;так;’ЂЉ;ADV -;;;к;а;т;;;;ADV;’ЂЉ;ADV -;
12525;30;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12526;31;чтобы;—’ЋЃ›;CONJ;;;ы;б;о;т;ч;;CONJ;—’ЋЃ›;CONJ;
12527;32;на;ЌЂ;PR;;;а;н;;;;;PR;ЌЂ;PR;
12528;33;орбите;ЋђЃ€’Ђ;S f inan loc sg;;;е;т;и;б;р;о;S;ЋђЃ€’Ђ;S f inan loc sg;
12529;34;укладывалось;“Љ‹Ђ„›‚Ђ’њ‘џ;V ipf praet sg indic n -;;;ь;с;о;л;а;в;V;“Љ‹Ђ„›‚Ђ’њ‘џ;V ipf praet sg indic n -;
12530;35;целое;–…‹›‰;A - nom sg plen n -;;;е;о;л;е;ц;;A;–…‹›‰;A - nom sg plen n -;
12531;36;число;—€‘‹Ћ;S n inan nom sg;;;о;л;с;и;ч;;S;—€‘‹Ћ;S n inan nom sg;
12532;37;длин;„‹€ЌЂ;S f inan gen pl;;;н;и;л;д;;;S;„‹€ЌЂ;S f inan gen pl;
12533;38;волн;‚Ћ‹ЌЂ;S f inan gen pl;;;н;л;о;в;;;S;‚Ћ‹ЌЂ;S f inan gen pl;
12534;39;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12535;40;.;.;SENT;;;;;;;;;SENT;.;SENT;
12536;;;;;;;;;;;;;;;;
12537;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12538;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12539;3;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12540;4;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12541;5;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12542;6;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12543;7;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12544;8;Ќу;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART;
12545;9;возиикл;‚Ћ‡Ќ€ЉЌ“’њ;V pf praet sg indic n -;distort;;л;к;и;и;з;о;S;‚Ћ‡€€Љ‹;S m inan acc sg;
12546;10;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12547;11;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12548;12;Ќу;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART;
12549;13;возникло;‚Ћ‡Ќ€ЉЌ“’њ;V pf praet sg indic n -;;;о;л;к;и;н;з;V;‚Ћ‡Ќ€ЉЌ“’њ;V pf praet sg indic n -;
12550;14;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12551;15;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12552;16;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12553;17;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12554;18;Ђ;Ђ;PART;;;а;;;;;;S;Ђ;S - - nonflex nonflex;
12555;19;что;—’Ћ;CONJ;слитно;;о;т;ч;;;;S;—’Ћ;S n - nom sg;
12556;20;такое;’ЂЉЋ‰;‘ONJ;;;е;о;к;а;т;;A;’ЂЉЋ‰;A - nom sg plen n -;
12557;21;длина;„‹€ЌЂ;S f inan nom sg;;;а;н;и;л;д;;S;„‹€ЌЂ;S f inan nom sg;
12558;22;волны;‚Ћ‹ЌЂ;S f inan gen sg;;;ы;н;л;о;в;;S;‚Ћ‹ЌЂ;S f inan gen sg;
12559;23;электрона;ќ‹…Љ’ђЋЌ;S m inan gen sg;;;а;н;о;р;т;к;S;ќ‹…Љ’ђЋЌ;S m inan gen sg;
12560;24;?;?;SENT;;;;;;;;;SENT;?;SENT;
12561;;;;;;;;;;;;;;;;
12562;1;„лЯ;„‹џ;PR;;;Я;л;д;;;;PR;„‹џ;PR;
12563;2;света;‘‚…’;S m inan gen sg;;;а;т;е;в;с;;S;‘‚…’;S m inan gen sg;
12564;3;это;ќ’Ћ;SPRO n - nom sg;;;о;т;э;;;;S;ќ’Ћ;S n - nom sg;
12565;4;понЯтно;ЏЋЌџ’Ќ›‰;A - - sg brev n -;;;о;н;т;Я;н;о;A;ЏЋЌџ’Ќ›‰;A - - sg brev n -;
12566;5;.;.;SENT;;;;;;;;;SENT;.;SENT;
12567;;;;;;;;;;;;;;;;
12568;1;Ќу;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART;
12569;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12570;3;предложили;Џђ…„‹Ћ†€’њ;V pf praet pl indic - -;;;и;л;и;ж;о;л;V;Џђ…„‹Ћ†€’њ;V pf praet pl indic - -;
12571;4;формулу;”ЋђЊ“‹Ђ;S f inan acc sg;;;у;л;у;м;р;о;S;”ЋђЊ“‹Ђ;S f inan acc sg;
12572;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12573;6;ну;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART;
12574;7;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12575;8;тогда;’Ћѓ„Ђ;ADV -;;;а;д;г;о;т;;ADV;’Ћѓ„Ђ;ADV -;
12576;9;получилось;ЏЋ‹“—€’њ‘џ;V pf praet sg indic n -;;;ь;с;о;л;и;ч;V;ЏЋ‹“—€’њ‘џ;V pf praet sg indic n -;
12577;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12578;11;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ;
12579;12;мэ;Њќ;NONLEX;;;э;м;;;;;NONLEX;Њќ;NONLEX;
12580;13;действительно;„…‰‘’‚€’…‹њЌЋ;ADV -;;;о;н;ь;л;е;т;ADV;„…‰‘’‚€’…‹њЌЋ;ADV -;
12581;14;возможно;‚Ћ‡ЊЋ†ЌЋ;ADV -;;;о;н;ж;о;м;з;ADV;‚Ћ‡ЊЋ†ЌЋ;ADV -;
12582;15;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12583;16;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12584;17;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12585;18;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12586;19;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12587;20;сущетвование;‘“™…C’‚Ћ‚ЂЌ€…;S n inan nom sg;distort;;е;и;н;а;в;о;S;‘“™…’‚Ћ‚ЂЌ€…;S f inan nom sg;
12588;21;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12589;22;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12590;23;существование;‘“™…‘’‚Ћ‚ЂЌ€…;S n inan nom sg;;;е;и;н;а;в;о;S;‘“™…‘’‚Ћ‚ЂЌ€…;S n inan acc sg;
12591;24;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12592;25;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12593;26;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12594;27;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12595;28;вот;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART;
12596;29;такой;’ЂЉЋ‰;APRO - gen sg plen f -;;;й;о;к;а;т;;A;’ЂЉЋ‰;A - ins sg plen f -;
12597;30;минимальной;Њ€Ќ€ЊЂ‹њЌ›‰;A - gen sg plen f -;;;й;о;н;ь;л;а;A;Њ€Ќ€ЊЂ‹њЌ›‰;A - gen sg plen f -;
12598;31;орбиты;ЋђЃ€’Ђ;S f inan gen sg;;;ы;т;и;б;р;о;S;ЋђЃ€’Ђ;S f inan gen sg;
12599;32;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12600;33;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12601;34;атом;Ђ’ЋЊ;S m inan nom sg;;;м;о;т;а;;;S;Ђ’ЋЊ;S m inan nom sg;
12602;35;стабилен;‘’ЂЃ€‹њЌ›‰;A - - sg brev m -;;;н;е;л;и;б;а;A;‘’ЂЃ€‹њЌ›‰;A - - sg brev m -;
12603;36;.;.;SENT;;;;;;;;;SENT;.;SENT;
12604;;;;;;;;;;;;;;;;
12605;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12606;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12607;3;Ќоо;ЌЋ;CONJ;distort;;о;о;н;;;;S;ЌЋЋ;S m inan nonflex nonflex;
12608;4;удовлетворениЯ;“„Ћ‚‹…’‚Ћђ…Ќ€…;S n inan gen sg;;;Я;и;н;е;р;о;S;“„Ћ‚‹…’‚Ћђ…Ќ€…;S n inan gen sg;
12609;5;от;Ћ’;PR;;;т;о;;;;;PR;Ћ’;PR;
12610;6;такого;’ЂЉЋ‰;APRO - gen sg plen m -;;;о;г;о;к;а;т;A;’ЂЉЋ‰;A - gen sg plen m -;
12611;7;решениЯ;ђ……Ќ€…;S n inan gen sg;;;Я;и;н;е;ш;е;S;ђ……Ќ€…;S n inan gen sg;
12612;8;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART;
12613;9;было;Ѓ›’њ;V ipf praet sg indic n -;;;о;л;ы;б;;;V;Ѓ›’њ;V ipf praet sg indic n -;
12614;10;.;.;SENT;;;;;;;;;SENT;.;SENT;
12615;;;;;;;;;;;;;;;;
12616;1;‹юди;—…‹Ћ‚…Љ;S m anim nom pl;;;и;д;ю;л;;;S;—…‹Ћ‚…Љ;S m anim nom pl;
12617;2;продолжали;ЏђЋ„Ћ‹†Ђ’њ;V ipf praet pl indic - -;;;и;л;а;ж;л;о;V;ЏђЋ„Ћ‹†Ђ’њ;V ipf praet pl indic - -;
12618;3;думать;„“ЊЂ’њ;V ipf - - inf - -;;;ь;т;а;м;у;д;V;„“ЊЂ’њ;V ipf - - inf - -;
12619;4;.;.;SENT;;;;;;;;;SENT;.;SENT;
12620;;;;;;;;;;;;;;;;
12621;1;Џока;ЏЋЉЂ;CONJ;;;а;к;о;п;;;CONJ;ЏЋЉЂ;CONJ;
12622;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12623;3;по-моему;ЏЋ-ЊЋ…Њ“;PARENTH;;;у;м;е;о;м;;ADV;ЏЋ-ЊЋ…Њ“;ADV -;
12624;4;это;ќ’Ћ;SPRO n - nom sg;;;о;т;э;;;;S;ќ’Ћ;S n - nom sg;
12625;5;был;Ѓ›’њ;V ipf praet sg indic m -;;;л;ы;б;;;;V;Ѓ›’њ;V ipf praet sg indic m -;
12626;6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12627;7;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12628;8;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12629;9;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12630;10;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12631;11;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12632;12;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom;
12633;13;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART;
12634;14;поню;ЏЋЊЌ€’њ;V ipf praes sg indic - 1p;distort;;ю;н;о;п;;;S;ЏЋЌџ;S f inan acc sg;
12635;15;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12636;16;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12637;17;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom;
12638;18;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART;
12639;19;помню;ЏЋЊЌ€’њ;V ipf praes sg indic - 1p;;;ю;н;м;о;п;;V;ЏЋЊЌ€’њ;V ipf praes sg indic - 1p;
12640;20;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12641;21;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12642;22;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12643;23;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12644;24;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12645;25;двадцать;„‚Ђ„–Ђ’њ;ANUM - nom sg plen m -;слитно;;ь;т;а;ц;д;а;NUM;„‚Ђ„–Ђ’њ;NUM acc - -;
12646;26;четвертый;—…’‚…ђ’›‰;ANUM - nom sg plen m -;;;й;ы;т;р;е;в;A;—…’‚…ђ’›‰;A - nom sg plen m -;
12647;27;или;€‹€;CONJ;;;и;л;и;;;;CONJ;€‹€;CONJ;
12648;28;двадцать;„‚Ђ„–Ђ’њ;ANUM - nom sg plen m -;слитно;;ь;т;а;ц;д;а;NUM;„‚Ђ„–Ђ’њ;NUM acc - -;
12649;29;седьмой;‘…„њЊЋ‰;ANUM - nom sg plen m -;;;й;о;м;ь;д;е;A;‘…„њЊЋ‰;A - nom sg plen m -;
12650;30;год;ѓЋ„;S m inan nom sg;;;д;о;г;;;;S;ѓЋ„;S m inan acc sg;
12651;31;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12652;32;великий;‚…‹€Љ€‰;A - nom sg plen m -;;;й;и;к;и;л;е;A;‚…‹€Љ€‰;A - nom sg plen m -;
12653;33;редингер;ђ…„€Ќѓ…ђ;S m anim nom sg famn;;;р;е;г;н;и;д;S;ђ…„€Ќѓ…ђ;S m anim nom sg;
12654;34;написал;ЌЂЏ€‘Ђ’њ;V pf praet sg indic m -;;;л;а;с;и;п;а;V;ЌЂЏ€‘Ђ’њ;V pf praet sg indic m -;
12655;35;некое;Ќ…Љ€‰;A - acc sg plen n inan;;;е;о;к;е;н;;A;Ќ…Љ€‰;A - acc sg plen n inan;
12656;36;уравнение;“ђЂ‚Ќ…Ќ€…;S n inan acc sg;;;е;и;н;е;н;в;S;“ђЂ‚Ќ…Ќ€…;S n inan acc sg;
12657;37;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12658;38;сказал;‘ЉЂ‡Ђ’њ;V pf praet sg indic m -;;;л;а;з;а;к;с;V;‘ЉЂ‡Ђ’њ;V pf praet sg indic m -;
12659;39;:;:;SENT;;;;;;;;;SENT;:;SENT;
12660;;;;;;;;;;;;;;;;
12661;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12662;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12663;3;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12664;4;Ђ;Ђ;PART;;;а;;;;;;CONJ;Ђ;CONJ;
12665;5;вот;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART;
12666;6;так;’ЂЉ;ADV -;;;к;а;т;;;;ADV;’ЂЉ;ADV -;
12667;7;надо;ЌЂ„Ћ;ADV -;;;о;д;а;н;;;ADV;ЌЂ„Ћ;ADV -;
12668;8;описывать;ЋЏ€‘›‚Ђ’њ;V ipf - - inf - -;;;ь;т;а;в;ы;с;V;ЋЏ€‘›‚Ђ’њ;V ipf - - inf - -;
12669;9;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12670;10;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12671;11;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12672;12;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12673;13;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12674;14;элемент;ќ‹…Њ…Ќ’ЂђЌ›‰;A;distort;;т;н;е;м;е;л;S;ќ‹…Њ…Ќ’;S m inan nom sg;
12675;15;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12676;16;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12677;17;элементарные;ќ‹…Њ…Ќ’ЂђЌ›‰;A - acc pl plen - -;;;е;ы;н;р;а;т;A;ќ‹…Њ…Ќ’ЂђЌ›‰;A - nom pl plen - -;
12678;18;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12679;19;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12680;20;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12681;21;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12682;22;мир;Њ€ђ;S m inan acc sg;;;р;и;м;;;;S;Њ€ђ;S m inan nom sg;
12683;23;этих;ќ’Ћ’;APRO - gen pl - -;;;х;и;т;э;;;A;ќ’Ћ’;A - gen pl plen - -;
12684;24;простейших;ЏђЋ‘’…‰€‰;A - gen pl plen f supr;;;х;и;ш;й;е;т;S;ЏђЋ‘’…‰……;S n anim loc pl;
12685;25;частиц;—Ђ‘’€–Ђ;S f inan gen pl;;;ц;и;т;с;а;ч;S;—Ђ‘’€–Ђ;S f inan gen pl;
12686;26;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12687;27;вот;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART;
12688;28;так;’ЂЉ;ADV -;;;к;а;т;;;;ADV;’ЂЉ;ADV -;
12689;29;он;ЋЌ;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ЋЌ;SPRO sg 3p m nom;
12690;30;устроен;“‘’ђЋ…ЌЌ›‰;A - - sg brev m -;;;н;е;о;р;т;с;A;“‘’ђЋ…ЌЌ›‰;A - - sg brev m -;
12691;31;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12692;32;.;.;SENT;;;;;;;;;SENT;.;SENT;
12693;;;;;;;;;;;;;;;;
12694;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12695;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12696;3;ќто;ќ’Ћ;SPRO n - nom sg;;;о;т;э;;;;S;ќ’Ћ;S n - nom sg;
12697;4;потребовало;ЏЋ’ђ…ЃЋ‚Ђ’њ;V pf praet sg indic n -;;;о;л;а;в;о;б;V;ЏЋ’ђ…ЃЋ‚Ђ’њ;V pf praet sg indic n -;
12698;5;ну;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART;
12699;6;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12700;7;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12701;8;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12702;9;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12703;10;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12704;11;абсолютной;ЂЃ‘Ћ‹ћ’Ќ›‰;A - gen sg plen f -;;;й;о;н;т;ю;л;A;ЂЃ‘Ћ‹ћ’Ќ›‰;A - gen sg plen f -;
12705;12;во;‚Ћ;NONLEX;distort;;о;в;;;;;PR;‚Ћ;PR;
12706;13;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12707;14;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12708;15;абсолютного;ЂЃ‘Ћ‹ћ’Ќ›‰;A - gen sg plen m -;;;о;г;о;н;т;ю;A;ЂЃ‘Ћ‹ћ’Ќ›‰;A - gen sg plen m -;
12709;16;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12710;17;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12711;18;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12712;19;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12713;20;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12714;21;изменениЯ;€‡Њ…Ќ…Ќ€…;S n inan gen sg;;;Я;и;н;е;н;е;S;€‡Њ…Ќ…Ќ€…;S n inan gen sg;
12715;22;представлений;Џђ…„‘’Ђ‚‹…Ќ€…;S n inan gen pl;;;й;и;н;е;л;в;S;Џђ…„‘’Ђ‚‹…Ќ€…;S n inan gen pl;
12716;23;о;Ћ;PR;;;о;;;;;;PR;Ћ;PR;
12717;24;движении;„‚€†…Ќ€…;S n inan loc sg;;;и;и;н;е;ж;и;S;„‚€†…Ќ€…;S n inan loc sg;
12718;25;.;.;SENT;;;;;;;;;SENT;.;SENT;
12719;;;;;;;;;;;;;;;;
12720;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12721;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12722;3;Ќу;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART;
12723;4;в;‚;PR;;;в;;;;;;PR;‚;PR;
12724;5;классической;Љ‹Ђ‘‘€—…‘Љ€‰;A - loc sg plen f -;;;й;о;к;с;е;ч;A;Љ‹Ђ‘‘€—…‘Љ€‰;A - dat sg plen f -;
12725;6;механике;Њ…•ЂЌ€ЉЂ;S f inan loc sg;;;е;к;и;н;а;х;S;Њ…•ЂЌ€ЉЂ;S f inan dat sg;
12726;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12727;8;состоЯние;‘Ћ‘’ЋџЌ€…;S n inan nom sg;;;е;и;н;Я;о;т;S;‘Ћ‘’ЋџЌ€…;S n inan nom sg;
12728;9;движениЯ;„‚€†…Ќ€…;S n inan gen sg;;;Я;и;н;е;ж;и;S;„‚€†…Ќ€…;S n inan gen sg;
12729;10;-;-;PUNC;;;;;;;;;PUNC;-;PUNC;
12730;11;это;ќ’Ћ;PART;;;о;т;э;;;;S;ќ’Ћ;S n - nom sg;
12731;12;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ;
12732;13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12733;14;длЯ;„‹џ;PR;;;Я;л;д;;;;PR;„‹џ;PR;
12734;15;частицы;—Ђ‘’€–Ђ;S f inan gen sg;;;ы;ц;и;т;с;а;S;—Ђ‘’€–Ђ;S f inan gen sg;
12735;16;задали;‡Ђ„Ђ’њ;V pf praet pl indic - -;;;и;л;а;д;а;з;V;‡Ђ„Ђ’њ;V pf praet pl indic - -;
12736;17;координату;ЉЋЋђ„€ЌЂ’Ђ;S f inan acc sg;;;у;т;а;н;и;д;S;ЉЋЋђ„€ЌЂ’Ђ;S f inan acc sg;
12737;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12738;19;где;ѓ„…;CONJ;;;е;д;г;;;;ADV;ѓ„…;ADV -;
12739;20;она;ЋЌЂ;SPRO sg 3p f nom;;;а;н;о;;;;SPRO;ЋЌЂ;SPRO sg 3p f nom;
12740;21;находитсЯ;ЌЂ•Ћ„€’њ‘џ;V ipf praes sg indic - 3p;;;Я;с;т;и;д;о;V;ЌЂ•Ћ„€’њ‘џ;V ipf praes sg indic - 3p;
12741;22;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12742;23;скорость;‘ЉЋђЋ‘’њ;S f inan acc sg;;;ь;т;с;о;р;о;S;‘ЉЋђЋ‘’њ;S f inan nom sg;
12743;24;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12744;25;а;Ђ;CONJ;;;а;;;;;;CONJ;Ђ;CONJ;
12745;26;редингер;ђ…„€Ќѓ…ђ;S m anim nom sg famn;;;р;е;г;н;и;д;S;ђ…„€Ќѓ…ђ;S m anim nom sg;
12746;27;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12747;28;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12748;29;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12749;30;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12750;31;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12751;32;шказал;CЉЂ‡Ђ’њ;V pf praet sg indic m -;distort;;л;а;з;а;к;ш;V;ЉЂ‡Ђ’њ;V pf praet sg indic m -;
12752;33;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12753;34;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12754;35;сказал;‘ЉЂ‡Ђ’њ;V pf praet sg indic m -;;;л;а;з;а;к;с;V;‘ЉЂ‡Ђ’њ;V pf praet sg indic m -;
12755;36;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12756;37;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12757;38;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12758;39;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12759;40;:;:;PUNC;;;;;;;;;PUNC;:;PUNC;
12760;41;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12761;42;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12762;43;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12763;44;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12764;45;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12765;46;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12766;47;Ќе;Ќ…’;PART;distort;;е;н;;;;;PART;Ќ…;PART;
12767;48;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12768;49;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12769;50;Ќет;Ќ…’;PART;;;т;е;н;;;;PART;Ќ…’;PART;
12770;51;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12771;52;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12772;53;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12773;54;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12774;55;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12775;56;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12776;57;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12777;58;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12778;59;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12779;60;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12780;61;ничЮ;Ќ€—’Ћ;SPRO sg gen;distort;;Ю;ч;и;н;;;S;Ќ€—;S m inan loc sg;
12781;62;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12782;63;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12783;64;ничего;Ќ€—’Ћ;SPRO sg gen;;;о;г;е;ч;и;н;ADV;Ќ€—…ѓЋ;ADV -;
12784;65;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12785;66;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12786;67;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12787;68;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12788;69;подобного;ЏЋ„ЋЃЌ›‰;A - gen sg plen m -;;;о;г;о;н;б;о;A;ЏЋ„ЋЃЌ›‰;A - gen sg plen m -;
